Filename,FileComment,triggerCount,roiCount,runTime,inhibitTime,SyringeSampleVolume,syringeSamplingSpeed,temperature,RunFastFactor,sampleNumber,runSampleFast,Datetime,lookTime,runSampleFast_Int,flowRate_mins,volumeAnalyzed,DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, DPS_COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122, EM710, COG,Datetime_GMT_underway,Datetime_UTC_underway
D20240401T151712_IFCB206,ar82a_underway ,5811,5748,1200.9409722222222,483.21538194444446,5,20,11.743960479133293,5,1,False,2024-04-01 15:17:01,717.7255902777777,1,0.25,2.9905232928240735,2024/04/01, 13:13:33.061, 41.524, -70.672,0.18,24.62,11.42, 0.010, 6.9,6.9, 1014.3,1014.3, 0.0,0.0, 0.000,0.0, 93,79, 4.8,5.4, 83.1,83.1, 4.8, 5.4, 117.7, 103.7, 1016.4,1016.4,204.25,322.82,716.16,5.8735,6.1845,124.4,0.0,1438.982, NAN, NAN, NAN, NAN,,2024-04-01 13:13:33.061,2024-04-01 13:13:33.061000+00:00
D20240401T173608_IFCB206,ar82a_underway ,7454,7347,1200.950138888889,620.1347916666666,5,20,10.679491111619754,5,1,False,2024-04-01 17:36:00,580.8153472222223,1,0.25,2.4200639467592593,2024/04/01, 13:13:33.061, 41.524, -70.672,0.18,24.62,11.42, 0.010, 6.9,6.9, 1014.3,1014.3, 0.0,0.0, 0.000,0.0, 93,79, 4.8,5.4, 83.1,83.1, 4.8, 5.4, 117.7, 103.7, 1016.4,1016.4,204.25,322.82,716.16,5.8735,6.1845,124.4,0.0,1438.982, NAN, NAN, NAN, NAN,,2024-04-01 13:13:33.061,2024-04-01 13:13:33.061000+00:00
D20240401T180004_IFCB206,ar82a_underway ,6899,6745,1201.868888888889,575.4369444444444,5,20,10.5730441748684,5,2,False,2024-04-01 18:00:00,626.4319444444445,1,0.25,2.610133101851852,2024/04/01, 13:13:33.061, 41.524, -70.672,0.18,24.62,11.42, 0.010, 6.9,6.9, 1014.3,1014.3, 0.0,0.0, 0.000,0.0, 93,79, 4.8,5.4, 83.1,83.1, 4.8, 5.4, 117.7, 103.7, 1016.4,1016.4,204.25,322.82,716.16,5.8735,6.1845,124.4,0.0,1438.982, NAN, NAN, NAN, NAN,,2024-04-01 13:13:33.061,2024-04-01 13:13:33.061000+00:00
D20240401T182359_IFCB206,ar82a_underway ,6622,6448,1202.1619444444443,551.6087847222223,5,20,10.466597238117046,5,3,False,2024-04-01 18:23:05,650.5531597222221,1,0.25,2.7106381655092586,2024/04/01, 13:13:33.061, 41.524, -70.672,0.18,24.62,11.42, 0.010, 6.9,6.9, 1014.3,1014.3, 0.0,0.0, 0.000,0.0, 93,79, 4.8,5.4, 83.1,83.1, 4.8, 5.4, 117.7, 103.7, 1016.4,1016.4,204.25,322.82,716.16,5.8735,6.1845,124.4,0.0,1438.982, NAN, NAN, NAN, NAN,,2024-04-01 13:13:33.061,2024-04-01 13:13:33.061000+00:00
D20240401T184754_IFCB206,ar82a_underway ,6347,6354,1202.0315277777777,528.6975694444444,5,20,10.466597238117046,5,4,False,2024-04-01 18:47:05,673.3339583333333,1,0.25,2.805558159722222,2024/04/02, 00:00:47.596,40.291,-70.882,10.97,179.7,179.02,10.84,6.5,6.6,1011.9,1011.8,0.0,0.0,0.0,0.0,342,333,2.8,3.2,91.4,91.2,3.0,3.1,15.4,27.0,1014.0,1013.9,-7.1,291.73,-0.02,32.19,6.3565,270.8,30.8,1472.697, NAN, NAN, NAN, NAN,,2024-04-02 00:00:47.596,2024-04-02 00:00:47.596000+00:00
D20240401T191149_IFCB206,ar82a_underway ,6350,6365,1201.27375,531.0927777777778,5,20,10.466597238117046,5,5,False,2024-04-01 19:11:04,670.1809722222223,1,0.25,2.792420717592593,2024/04/02, 00:00:47.596,40.291,-70.882,10.97,179.7,179.02,10.84,6.5,6.6,1011.9,1011.8,0.0,0.0,0.0,0.0,342,333,2.8,3.2,91.4,91.2,3.0,3.1,15.4,27.0,1014.0,1013.9,-7.1,291.73,-0.02,32.19,6.3565,270.8,30.8,1472.697, NAN, NAN, NAN, NAN,,2024-04-02 00:00:47.596,2024-04-02 00:00:47.596000+00:00
D20240401T193544_IFCB206,ar82a_underway ,6156,6170,1201.5597222222225,512.7665972222222,5,20,10.466597238117046,5,6,False,2024-04-01 19:35:04,688.7931250000003,1,0.25,2.8699713541666676,2024/04/02, 00:00:47.596,40.291,-70.882,10.97,179.7,179.02,10.84,6.5,6.6,1011.9,1011.8,0.0,0.0,0.0,0.0,342,333,2.8,3.2,91.4,91.2,3.0,3.1,15.4,27.0,1014.0,1013.9,-7.1,291.73,-0.02,32.19,6.3565,270.8,30.8,1472.697, NAN, NAN, NAN, NAN,,2024-04-02 00:00:47.596,2024-04-02 00:00:47.596000+00:00
D20240401T195940_IFCB206,ar82a_underway ,5873,5435,1201.9033333333334,489.95399305555554,5,20,10.468260471503783,5,7,False,2024-04-01 19:59:04,711.9493402777779,1,0.25,2.966455584490741,2024/04/02, 00:00:47.596,40.291,-70.882,10.97,179.7,179.02,10.84,6.5,6.6,1011.9,1011.8,0.0,0.0,0.0,0.0,342,333,2.8,3.2,91.4,91.2,3.0,3.1,15.4,27.0,1014.0,1013.9,-7.1,291.73,-0.02,32.19,6.3565,270.8,30.8,1472.697, NAN, NAN, NAN, NAN,,2024-04-02 00:00:47.596,2024-04-02 00:00:47.596000+00:00
D20240401T202335_IFCB206,ar82a_underway ,5626,5136,1201.7493055555556,469.1170138888889,5,20,10.468260471503783,5,8,False,2024-04-01 20:23:03,732.6322916666667,1,0.25,3.052634548611111,2024/04/02, 00:00:47.596,40.291,-70.882,10.97,179.7,179.02,10.84,6.5,6.6,1011.9,1011.8,0.0,0.0,0.0,0.0,342,333,2.8,3.2,91.4,91.2,3.0,3.1,15.4,27.0,1014.0,1013.9,-7.1,291.73,-0.02,32.19,6.3565,270.8,30.8,1472.697, NAN, NAN, NAN, NAN,,2024-04-02 00:00:47.596,2024-04-02 00:00:47.596000+00:00
D20240401T204730_IFCB206,ar82a_underway ,5506,4995,1202.1091666666666,459.2791666666666,5,20,10.468260471503783,5,9,False,2024-04-01 20:47:03,742.83,1,0.25,3.0951250000000003,2024/04/02, 00:00:47.596,40.291,-70.882,10.97,179.7,179.02,10.84,6.5,6.6,1011.9,1011.8,0.0,0.0,0.0,0.0,342,333,2.8,3.2,91.4,91.2,3.0,3.1,15.4,27.0,1014.0,1013.9,-7.1,291.73,-0.02,32.19,6.3565,270.8,30.8,1472.697, NAN, NAN, NAN, NAN,,2024-04-02 00:00:47.596,2024-04-02 00:00:47.596000+00:00
D20240401T211125_IFCB206,ar82a_underway ,5563,5043,1201.8277777777778,464.30097222222224,5,20,10.466597238117046,5,10,False,2024-04-01 21:11:02,737.5268055555555,1,0.25,3.073028356481481,2024/04/02, 00:00:47.596,40.291,-70.882,10.97,179.7,179.02,10.84,6.5,6.6,1011.9,1011.8,0.0,0.0,0.0,0.0,342,333,2.8,3.2,91.4,91.2,3.0,3.1,15.4,27.0,1014.0,1013.9,-7.1,291.73,-0.02,32.19,6.3565,270.8,30.8,1472.697, NAN, NAN, NAN, NAN,,2024-04-02 00:00:47.596,2024-04-02 00:00:47.596000+00:00
D20240401T213521_IFCB206,ar82a_underway ,4866,4421,1201.9634722222222,405.7268402777778,5,20,10.468260471503783,5,11,False,2024-04-01 21:35:02,796.2366319444444,1,0.25,3.3176526331018517,2024/04/02, 00:00:47.596,40.291,-70.882,10.97,179.7,179.02,10.84,6.5,6.6,1011.9,1011.8,0.0,0.0,0.0,0.0,342,333,2.8,3.2,91.4,91.2,3.0,3.1,15.4,27.0,1014.0,1013.9,-7.1,291.73,-0.02,32.19,6.3565,270.8,30.8,1472.697, NAN, NAN, NAN, NAN,,2024-04-02 00:00:47.596,2024-04-02 00:00:47.596000+00:00
D20240401T215915_IFCB206,ar82a_underway ,3871,3436,1201.4383333333333,323.3412152777778,5,20,10.5730441748684,5,12,False,2024-04-01 21:59:01,878.0971180555555,1,0.25,3.6587379918981484,2024/04/02, 00:00:47.596,40.291,-70.882,10.97,179.7,179.02,10.84,6.5,6.6,1011.9,1011.8,0.0,0.0,0.0,0.0,342,333,2.8,3.2,91.4,91.2,3.0,3.1,15.4,27.0,1014.0,1013.9,-7.1,291.73,-0.02,32.19,6.3565,270.8,30.8,1472.697, NAN, NAN, NAN, NAN,,2024-04-02 00:00:47.596,2024-04-02 00:00:47.596000+00:00
D20240401T222309_IFCB206,ar82a_underway ,3460,3141,1201.293472222222,288.6702604166667,5,20,10.574707408255136,5,13,False,2024-04-01 22:23:00,912.6232118055552,1,0.25,3.80259671585648,2024/04/02, 00:00:47.596,40.291,-70.882,10.97,179.7,179.02,10.84,6.5,6.6,1011.9,1011.8,0.0,0.0,0.0,0.0,342,333,2.8,3.2,91.4,91.2,3.0,3.1,15.4,27.0,1014.0,1013.9,-7.1,291.73,-0.02,32.19,6.3565,270.8,30.8,1472.697, NAN, NAN, NAN, NAN,,2024-04-02 00:00:47.596,2024-04-02 00:00:47.596000+00:00
