filename,Latitude,Longitude,Depth,sample_type,Cruise,Instrument,tag1,tag2,tag3
D20240401T151712_IFCB206,41.524,-70.672,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T173608_IFCB206,41.524,-70.672,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T180004_IFCB206,41.524,-70.672,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T182359_IFCB206,41.524,-70.672,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T184754_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T191149_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T193544_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T195940_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T202335_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T204730_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T211125_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T213521_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T215915_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T222309_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T224703_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T231058_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T233452_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240401T235846_IFCB206,40.291,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T002241_IFCB206,40.228,-70.883,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T004636_IFCB206,40.156,-70.884,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T011030_IFCB206,40.154,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T013424_IFCB206,40.096,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T015818_IFCB206,40.026,-70.882,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T022213_IFCB206,39.956,-70.883,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T024607_IFCB206,39.941,-70.883,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T031001_IFCB206,39.941,-70.883,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T033355_IFCB206,39.894,-70.884,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T035750_IFCB206,39.822,-70.883,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T042144_IFCB206,39.757,-70.91,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T044538_IFCB206,39.71,-70.989,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T050932_IFCB206,39.665,-71.067,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T053326_IFCB206,39.618,-71.147,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T055721_IFCB206,39.569,-71.227,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T062116_IFCB206,39.522,-71.305,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T064510_IFCB206,39.476,-71.382,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T070904_IFCB206,39.43,-71.459,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T073259_IFCB206,39.386,-71.533,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T075653_IFCB206,39.338,-71.612,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T082047_IFCB206,39.288,-71.693,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T084441_IFCB206,39.24,-71.775,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T090835_IFCB206,39.191,-71.855,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T093230_IFCB206,39.141,-71.935,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T095624_IFCB206,39.092,-72.015,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T102018_IFCB206,39.044,-72.094,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T104412_IFCB206,38.999,-72.172,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T110807_IFCB206,38.955,-72.249,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T113201_IFCB206,38.911,-72.327,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T115555_IFCB206,38.868,-72.402,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T121949_IFCB206,38.821,-72.478,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T124343_IFCB206,38.776,-72.555,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T130738_IFCB206,38.73,-72.633,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T133132_IFCB206,38.683,-72.711,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T135526_IFCB206,38.634,-72.788,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T142812_IFCB206,38.568,-72.896,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T145207_IFCB206,38.521,-72.975,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T151602_IFCB206,38.472,-73.054,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T153956_IFCB206,38.422,-73.128,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T160351_IFCB206,38.375,-73.207,3,underway,AR82,IFCB206,,targetdepth_surface,
